iter	Passed	Remaining
968	97589	23264
969	97657	23155
970	97733	23049
971	97801	22941
972	97866	22832
973	97931	22723
974	98005	22616
975	98074	22508
976	98146	22401
977	98221	22295
978	98289	22187
979	98367	22082
980	98451	21978
981	98530	21873
982	98605	21767
983	98679	21661
984	98758	21556
985	98840	21452
986	98919	21347
987	98993	21241
988	99068	21135
989	99138	21029
990	99213	20923
991	99296	20820
992	99405	20721
993	99511	20623
994	99612	20523
995	99721	20424
996	99828	20326
997	99903	20220
998	99984	20116
999	100054	20010
1000	100126	19905
1001	100192	19798
1002	100263	19692
1003	100334	19587
1004	100417	19483
1005	100498	19380
1006	100589	19278
1007	100685	19178
1008	100765	19074
1009	100838	18969
1010	100907	18864
1011	100980	18759
1012	101063	18656
1013	101136	18551
1014	101210	18447
1015	101291	18344
1016	101368	18240
1017	101441	18135
1018	101513	18031
1019	101587	17927
1020	101661	17823
1021	101731	17718
1022	101807	17614
1023	101887	17511
1024	101971	17409
1025	102060	17308
1026	102151	17207
1027	102235	17105
1028	102319	17003
1029	102402	16901
1030	102484	16799
1031	102570	16697
1032	102655	16595
1033	102735	16493
1034	102827	16392
1035	102909	16290
1036	102998	16189
1037	103080	16087
1038	103167	15986
1039	103265	15886
1040	103354	15786
1041	103437	15684
1042	103523	15583
1043	103608	15481
1044	103696	15380
1045	103780	15279
1046	103868	15178
1047	103950	15076
1048	104032	14975
1049	104107	14872
1050	104185	14770
1051	104263	14668
1052	104341	14566
1053	104422	14464
1054	104504	14363
1055	104578	14260
1056	104657	14158
1057	104744	14058
1058	104831	13957
1059	104919	13857
1060	105009	13757
1061	105095	13656
1062	105180	13555
1063	105263	13454
1064	105347	13353
1065	105428	13252
1066	105510	13151
1067	105596	13051
1068	105675	12949
1069	105758	12849
1070	105837	12747
1071	105923	12647
1072	106012	12547
1073	106094	12446
1074	106175	12346
1075	106254	12244
1076	106332	12143
1077	106416	12043
1078	106499	11942
1079	106580	11842
1080	106661	11741
1081	106742	11641
1082	106823	11540
1083	106904	11439
1084	106979	11338
1085	107056	11238
1086	107141	11138
1087	107264	11041
1088	107371	10944
1089	107459	10844
1090	107545	10744
1091	107627	10644
1092	107712	10544
1093	107796	10444
1094	107882	10344
1095	107968	10245
1096	108057	10145
1097	108146	10046
1098	108243	9947
1099	108341	9849
1100	108437	9750
1101	108530	9651
1102	108613	9551
1103	108699	9452
1104	108784	9352
1105	108873	9253
1106	108981	9155
1107	109068	9056
1108	109155	8956
1109	109241	8857
1110	109322	8757
1111	109409	8658
1112	109492	8558
1113	109574	8459
1114	109669	8360
1115	109783	8263
1116	109896	8166
1117	110017	8069
1118	110125	7971
1119	110216	7872
1120	110300	7773
1121	110396	7674
1122	110489	7575
1123	110582	7477
1124	110676	7378
1125	110769	7279
1126	110858	7180
1127	110950	7081
1128	111042	6983
1129	111133	6884
1130	111214	6784
1131	111299	6685
1132	111390	6587
1133	111479	6488
1134	111568	6389
1135	111659	6290
1136	111742	6191
1137	111831	6092
1138	111915	5993
